"TENURE","HHSIZE","HH62PLUS","HHUNDER18","HHUNDER6","HHFIRSTMOVEIN","HHDEAR","HHDEYE","HHDREM","HHDPHY","HHDDRS","HHDOUT","HHDONEPLUS","NOHEAT","NOHOTWATER","ADDHEAT","LEAKS","MOLD","MUSTY","RODENTS_UNIT","RODENTS_BUILD","TOILET_BROK","ROACHES_NUM","WALLHOLES","FLOORHOLES","PEELPAINT","MDEFCOUNT","ANIMS","PA_FOOD","PA_CASH","PA_OTHER","PA_ANY","FOODINSECURE","UTIL_ELECTRIC","UTIL_GAS","UTIL_HEAT","UTIL_WATER","UTIL_INCLUDED","UTIL_NONE","UTILCOSTS_SUMMER","UTILCOSTS_WINTER","MUTIL","INTERUPT_UTIL","INTERUPT_PHONE","INTERUPT_CELL","INTERUPT_NONE","EMERG400_RATE","HHINC_REC1","HUDILFY20","HUDILFY21","HHPOVERTY","LEASENOW","RENTASSIST","RENTASSIST_VOUCHER","RENTOUTSIDE","RENTFEES","RENT_AMOUNT","GRENT","RENTPAID","RENTPAID_AMOUNT","MISSRENT","ALTRENT_CREDIT","ALTRENT_SAVINGS","ALTRENT_LOAN","ALTRENT_ASSET","ALTRENT_ONEPLUS","RENTBURDEN_CAT","CROWD_BDRM","CROWD_RM","HHCOVIDDIAG"
1,1,2,2,2,2018,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,100,60,70,2,2,2,1,10,210000,250,250,250,1,2,2,2,2,2800,2870,1,2800,2,2,2,2,2,2,3,3,3,2
2,2,1,2,2,1981,2,2,2,1,2,2,1,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,1,1,2,2,280,350,537,2,2,2,1,10,92000,101,96,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
2,1,1,2,2,2010,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,107,107,107,2,1,2,2,5,12000,15,14,97,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
2,5,1,1,1,2003,2,2,2,2,2,2,2,2,2,2,1,2,5,1,2,1,3,2,1,2,4,2,2,2,2,2,1,1,2,1,1,2,2,150,100,120,2,2,2,1,10,281000,229,218,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,1
2,2,1,2,2,2019,2,2,2,1,2,2,1,2,2,2,1,2,5,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,70,45,51,2,2,2,1,10,133551,147,140,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,1
1,3,2,2,2,2018,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,500,100,200,2,2,2,1,10,219386,214,204,250,1,2,2,2,2,4600,4800,1,4600,2,2,2,2,2,2,1,1,3,1
2,2,1,2,2,1982,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,75,75,75,2,2,2,1,1,170000,187,178,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
1,4,2,1,1,2018,2,2,2,2,2,2,2,2,2,2,2,1,5,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,160,60,85,2,2,2,1,1,192200,169,161,250,2,2,2,2,2,1950,2035,1,1950,2,2,2,2,2,2,3,3,3,2
1,4,2,1,1,1995,2,1,2,2,2,2,1,1,1,1,1,1,4,2,1,2,4,1,2,1,6,1,1,2,2,1,2,2,2,2,2,1,2,150,100,120,2,2,2,1,1,0,63,60,250,1,1,2,1,2,293,293,2,1375,1,2,2,2,1,1,4,3,3,2
1,6,2,1,1,1998,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,4,1,2,1,4,2,1,2,2,1,1,2,2,2,2,2,1,150,100,120,2,2,2,1,1,47161,36,34,127,2,2,2,2,2,475,475,1,475,1,2,2,2,2,2,4,3,2,2
